file_path,en_bytes,fr_bytes,es_bytes,de_bytes,pt_bytes,es_ratio,de_ratio,pt_ratio,status,priority
Dev/i18n/ReactNative/README.md,9003,9297,9330,9325,9323,1.04,1.04,1.04,ok,P2
Dev/i18n/ReactNative/SUMMARY.md,17453,17861,18651,18143,18631,1.07,1.04,1.07,ok,P3
Dev/i18n/ReactNative/agents/reactnative-reviewer.md,14138,15195,15112,15261,14639,1.07,1.08,1.04,ok,P3
Dev/i18n/ReactNative/skills/coding-standards/SKILL.md,299,305,323,299,317,1.08,1.00,1.06,ok,P3
Dev/i18n/ReactNative/skills/state-management/SKILL.md,297,297,301,297,311,1.01,1.00,1.05,ok,P3
Dev/i18n/ReactNative/skills/security-reactnative/SKILL.md,321,321,337,321,333,1.05,1.00,1.04,ok,P3
Dev/i18n/ReactNative/skills/performance/SKILL.md,289,289,297,289,295,1.03,1.00,1.02,ok,P3
Dev/i18n/ReactNative/skills/quality-tools/SKILL.md,293,293,313,293,293,1.07,1.00,1.00,ok,P3
Dev/i18n/ReactNative/skills/navigation/SKILL.md,240,240,242,240,242,1.01,1.00,1.01,ok,P3
Dev/i18n/ReactNative/skills/architecture/SKILL.md,333,329,331,333,331,0.99,1.00,0.99,ok,P3
Dev/i18n/ReactNative/commands/check-testing.md,9220,10021,5496,9748,2605,0.60,1.06,0.28,size_gap,P3
Dev/i18n/ReactNative/commands/deep-link.md,14268,14521,2720,14509,11731,0.19,1.02,0.82,size_gap,P3
Dev/i18n/ReactNative/commands/app-size.md,13058,13560,13464,13559,9865,1.03,1.04,0.76,size_gap,P3
Dev/i18n/ReactNative/commands/check-code-quality.md,7965,8667,8613,8601,2491,1.08,1.08,0.31,size_gap,P3
Dev/i18n/ReactNative/commands/generate-screen.md,15143,15375,3640,15419,9106,0.24,1.02,0.60,size_gap,P3
Dev/i18n/ReactNative/commands/store-prepare.md,15072,15603,4954,15676,5149,0.33,1.04,0.34,size_gap,P3
Dev/i18n/ReactNative/commands/check-architecture.md,6479,7082,6995,6939,4909,1.08,1.07,0.76,size_gap,P3
Dev/i18n/ReactNative/commands/check-security.md,12262,13390,3828,13087,4543,0.31,1.07,0.37,size_gap,P3
Dev/i18n/ReactNative/commands/native-module.md,15962,16226,5084,16271,3197,0.32,1.02,0.20,size_gap,P3
Dev/i18n/ReactNative/commands/check-compliance.md,6437,5967,7053,6897,3045,1.10,1.07,0.47,size_gap,P3
Dev/i18n/ReactNative/templates/screen.md,3695,3695,3714,3695,3749,1.01,1.00,1.01,ok,P3
Dev/i18n/ReactNative/templates/component.md,3600,3604,3681,3600,3662,1.02,1.00,1.02,ok,P3
Dev/i18n/ReactNative/templates/test-component.md,6375,6375,6391,6375,6585,1.00,1.00,1.03,ok,P3
